iter	RMSE
273	0.1564921752
274	0.1564603092
275	0.1564309179
276	0.1564002896
277	0.1563657097
278	0.1563519472
279	0.156338673
280	0.1563182506
281	0.1562939028
282	0.1562621613
283	0.1562442084
284	0.1562030094
285	0.1561756898
286	0.156148627
287	0.1561170915
288	0.1560986939
289	0.1560793896
290	0.1560602094
291	0.156041957
292	0.1560098171
293	0.1559902039
294	0.1559779093
295	0.1559579017
296	0.1559108187
297	0.1558824477
298	0.1558321542
299	0.1557919943
300	0.1557756742
301	0.1557351574
302	0.1557107708
303	0.1556937678
304	0.1556781017
305	0.1556609124
306	0.155633069
307	0.1556122402
308	0.1556065056
309	0.155587589
310	0.1555825322
311	0.1555556169
312	0.155535876
313	0.1555306478
314	0.1555103883
315	0.1554895501
316	0.1554358259
317	0.1553991853
318	0.1553803206
319	0.1553587094
320	0.1553329301
321	0.1553092741
322	0.155289772
323	0.1552738362
324	0.155228756
325	0.1552157738
326	0.1552076627
327	0.1551959343
328	0.1551742518
329	0.1551629669
330	0.1551133729
331	0.1551024882
332	0.1550928914
333	0.1550718645
334	0.155053021
335	0.1550428373
336	0.1550171477
337	0.155002752
338	0.1549774907
339	0.1549396037
340	0.1549137817
341	0.1548742076
342	0.1548553042
343	0.1548523716
344	0.1548257417
345	0.1547708775
346	0.1547470998
347	0.1547042591
348	0.1546622297
349	0.154634387
350	0.154606297
351	0.1545901199
352	0.1545723292
353	0.1545369945
354	0.1545180586
355	0.154494437
356	0.1544549501
357	0.1544515168
358	0.1544481441
359	0.1544249271
360	0.1543941912
361	0.1543582566
362	0.1543307944
363	0.1543034131
364	0.154256546
365	0.1542276465
366	0.1542146709
367	0.1541752925
368	0.1541513786
369	0.1541260551
370	0.1541141646
371	0.1540692622
372	0.1540295121
373	0.153995383
374	0.1539693202
375	0.1539371143
376	0.1539227418
377	0.1538808603
378	0.1538548817
379	0.1538360216
380	0.1538222101
381	0.153761716
382	0.1537545157
383	0.1537305406
384	0.1537017551
385	0.153662137
386	0.1536353713
387	0.1535972718
388	0.1535864499
389	0.153571393
390	0.1535217961
391	0.1535025768
392	0.153476324
393	0.153454708
394	0.1534094748
395	0.1533538634
396	0.1533002806
397	0.153266464
398	0.1532305469
399	0.1532064341
400	0.1531555603
401	0.1531328238
402	0.1531067039
403	0.1530727371
404	0.1530566766
405	0.1530367777
406	0.1530109193
407	0.1529808804
408	0.1529524447
409	0.1529296327
410	0.1528884018
411	0.1528484364
412	0.1528223177
413	0.1527835505
414	0.1527611029
415	0.1527235262
416	0.1527065335
417	0.1526822716
418	0.1526626901
419	0.1526438901
420	0.1526202944
421	0.1525993471
422	0.1525551781
423	0.1525333194
424	0.1525040789
425	0.1524835171
426	0.1524619364
427	0.1524262897
428	0.1524009039
429	0.152382398
430	0.1523614382
431	0.1523477126
432	0.1523272554
433	0.152297602
434	0.1522742924
435	0.1522639377
436	0.1522483767
437	0.1522289183
438	0.1522159623
439	0.152197379
440	0.1521850355
441	0.1521722019
442	0.1521589462
443	0.1521257625
444	0.1521008922
445	0.1520772794
446	0.1520626635
447	0.1520391902
448	0.1520039646
449	0.1519869985
450	0.1519545036
451	0.1519334781
452	0.1519189453
453	0.1518758584
454	0.1518598044
455	0.1518410042
456	0.1518193319
457	0.1517822262
458	0.151741023
459	0.1517029349
460	0.1516892794
461	0.1516560008
462	0.1516218564
463	0.1516052073
464	0.1515792135
465	0.1515495127
466	0.1515129921
467	0.1514899238
468	0.1514742195
469	0.1514641091
470	0.1514357606
471	0.1514228442
472	0.1514136192
473	0.1513918014
474	0.1513600291
475	0.1513472374
476	0.1513255952
477	0.151316015
478	0.1512836909
479	0.1512654406
480	0.1512447475
481	0.1512366316
482	0.151216284
483	0.1511785516
484	0.1511585633
485	0.1511464737
486	0.1511029499
487	0.1510942594
488	0.1510613707
489	0.1510307802
490	0.150990049
491	0.150960107
492	0.1509254411
493	0.1508967983
494	0.1508661679
495	0.1508390913
496	0.1508108396
497	0.1507945047
498	0.1507781967
499	0.1507414041
500	0.1507073159
501	0.1506781472
502	0.1506517186
503	0.1506216975
504	0.1505866121
505	0.1505668654
506	0.1505509255
507	0.1505216922
508	0.1504718543
509	0.1504637321
510	0.1504440865
511	0.1504056808
512	0.1503982442
513	0.1503855878
514	0.1503565193
515	0.1503246768
516	0.1502616397
517	0.1502452426
518	0.1502114821
519	0.1501806798
520	0.1501662213
521	0.1501303069
522	0.1500907997
523	0.1500619875
524	0.1500241502
525	0.1499992581
526	0.149969561
527	0.1499397479
528	0.1499222269
529	0.1498783486
530	0.149847657
531	0.1497889889
532	0.1497617794
533	0.1497396554
534	0.149710394
535	0.1496914221
536	0.1496581141
537	0.1496343823
538	0.1496089261
539	0.1495816266
540	0.1495546039
541	0.1495284599
542	0.1495000042
543	0.1494716496
544	0.1494555333
545	0.1494365169
546	0.1494129823
547	0.1493868663
548	0.1493714701
549	0.1493162255
550	0.1492914745
551	0.1492397747
552	0.1492125595
553	0.1491671582
554	0.1491398553
555	0.1491051329
556	0.149077536
557	0.1490567819
558	0.1490439283
559	0.1490170454
560	0.1489936726
561	0.148969438
562	0.1489486801
563	0.1489210692
564	0.1488986865
565	0.1488734531
566	0.1488534613
567	0.1488221964
568	0.1487984423
569	0.1487789341
570	0.1487615559
571	0.1487201142
572	0.1486904477
573	0.1486676958
574	0.1486420653
575	0.148603439
576	0.1485743913
577	0.1485582287
578	0.1485342191
579	0.1484858256
580	0.1484610683
581	0.1484429402
582	0.1484227449
583	0.1483956235
584	0.1483705252
585	0.1483223589
586	0.1483049195
587	0.1482872054
588	0.1482662537
589	0.1482391538
590	0.1482216867
591	0.1481802966
592	0.1481550321
593	0.1481387104
594	0.1481183804
595	0.1480845866
596	0.1480686971
597	0.1480175476
598	0.1479494204
599	0.1479324986
600	0.1478921501
601	0.1478752979
602	0.1478676829
603	0.1478431622
604	0.1478141387
605	0.1477869039
606	0.1477705655
607	0.1477606219
608	0.147733625
609	0.1477074155
610	0.1476767282
611	0.1476592525
612	0.1476438808
613	0.1476163445
614	0.1475877843
615	0.1475678113
616	0.1475221133
617	0.1475081427
618	0.1474834829
619	0.1474503522
620	0.1474099099
621	0.1473955978
622	0.1473700774
623	0.1473488689
624	0.1473193454
625	0.1472986227
626	0.1472747457
627	0.1472533916
628	0.1472298804
629	0.1471734464
630	0.14714685
631	0.1471195931
632	0.147097894
633	0.1470804209
634	0.1470562312
635	0.1470413947
636	0.147013562
637	0.14697796
638	0.1469625697
639	0.1469369674
640	0.1469090002
641	0.1468948224
642	0.1468812698
643	0.1468618356
644	0.1468419313
645	0.1468172802
646	0.1467977784
647	0.1467865902
648	0.1467736049
649	0.1467499075
650	0.1467331993
651	0.1467148432
652	0.1466903615
653	0.1466775754
654	0.1466663506
655	0.1466211449
656	0.1465697256
657	0.1465502026
658	0.1465282172
659	0.1465082112
660	0.146479446
661	0.146453276
662	0.1464364417
663	0.1464240501
664	0.1464015888
665	0.146391272
666	0.1463664892
667	0.1463485301
668	0.1463121905
669	0.1462917534
670	0.1462699744
671	0.1462297285
672	0.1461930179
673	0.1461657251
674	0.1461426796
675	0.1461246523
676	0.146108653
677	0.1460823226
678	0.1460629946
679	0.1460503877
680	0.1460372424
681	0.1460041575
682	0.1459928734
683	0.1459714455
684	0.1459516061
685	0.1459289253
686	0.1459031279
687	0.1458812566
688	0.1458581496
689	0.1458384025
690	0.1458043117
691	0.1457760158
692	0.145757241
693	0.1457393672
694	0.1457176916
695	0.1456986062
696	0.1456849194
697	0.1456612131
698	0.1456461346
699	0.1456257066
700	0.1456007087
701	0.1455814773
702	0.1455479322
703	0.1455238805
704	0.1454911376
705	0.1454647481
706	0.1454428481
707	0.1454157633
708	0.1454046408
709	0.1453863178
710	0.1453637716
711	0.145333079
712	0.1453103379
713	0.1453019719
714	0.1452886565
715	0.1452564587
716	0.1452349563
717	0.1452118097
718	0.1451933257
719	0.145179921
720	0.145155112
721	0.1451256024
722	0.1451020203
723	0.1450702327
724	0.1450523407
725	0.1450299619
726	0.145015628
727	0.1450017621
728	0.144980232
729	0.1449572893
730	0.1449329745
731	0.1449121455
732	0.1448909326
733	0.1448615395
734	0.1448439486
735	0.1448250762
736	0.1448020169
737	0.1447827692
738	0.1447618541
739	0.144740253
740	0.1447317254
741	0.1447244835
742	0.144699741
743	0.144685693
744	0.1446784869
745	0.1446688581
746	0.1446601729
747	0.1446404628
748	0.1446288297
749	0.1446085681
750	0.1445908231
751	0.1445700392
752	0.144549169
753	0.1445273762
754	0.144504933
755	0.1444945982
756	0.1444678778
757	0.1444443267
758	0.1444206967
759	0.1444005792
760	0.1443675505
761	0.1443484832
762	0.1443273972
763	0.1443067635
764	0.1442855101
765	0.1442639365
766	0.1442464194
767	0.1442273343
768	0.144205567
769	0.1441888809
770	0.1441789033
771	0.1441399551
772	0.1441259656
773	0.1441054804
774	0.1440859664
775	0.1440582507
776	0.1440386294
777	0.1440065366
778	0.1439835844
779	0.1439675088
780	0.1439283064
781	0.143912913
782	0.1438955407
783	0.1438576455
784	0.1438165391
785	0.143799378
786	0.1437781703
787	0.1437557503
788	0.1437339843
789	0.1437026993
790	0.1436798053
791	0.1436579783
792	0.1436438793
793	0.1436291959
794	0.1436086123
795	0.1435981735
796	0.1435773038
797	0.1435591557
798	0.14353895
799	0.1435226417
800	0.1435079867
801	0.1434905999
802	0.1434765685
803	0.1434539453
804	0.1434385221
805	0.1434160871
806	0.1434044567
807	0.1433840697
808	0.1433528508
809	0.14332371
810	0.1432945664
811	0.1432791741
812	0.143250256
813	0.143230778
814	0.1432163932
815	0.1431984704
816	0.143181739
817	0.1431537768
818	0.1431365727
819	0.1431194259
820	0.1430916836
821	0.1430734734
822	0.1430383038
823	0.1430195712
824	0.1429995165
825	0.1429688607
826	0.1429324256
827	0.1429161609
828	0.1428947839
829	0.1428700902
830	0.1428400222
831	0.1428114582
832	0.1427939602
833	0.1427846031
834	0.1427665072
835	0.1427502545
836	0.1427302976
837	0.1426942054
838	0.1426752255
839	0.1426557457
840	0.1426328068
841	0.1426113546
842	0.1425894175
843	0.1425553452
844	0.1425301694
845	0.1425163758
846	0.1424959217
847	0.1424697941
848	0.1424532448
849	0.1424461076
850	0.1424184535
851	0.1423994831
852	0.1423784424
853	0.1423589307
854	0.1423500333
855	0.142342641
856	0.1423283834
857	0.142305109
858	0.1422842237
859	0.142263962
860	0.1422491545
861	0.1422282445
862	0.1422053294
863	0.1421904853
864	0.1421691993
865	0.1421581661
866	0.1421287408
867	0.1420885226
868	0.1420683432
869	0.1420547029
870	0.1420341464
871	0.1420257648
872	0.1420068094
873	0.1419867321
874	0.1419786648
875	0.1419645836
876	0.1419485366
877	0.1419335287
878	0.1419030653
879	0.1418826516
880	0.1418539744
881	0.1418312909
882	0.1418102176
883	0.1417911706
884	0.1417712248
885	0.1417447494
886	0.1417248071
887	0.1416814658
888	0.1416660372
889	0.1416392185
890	0.1416222417
891	0.141603847
892	0.1415620498
893	0.14154137
894	0.1415146689
895	0.141488561
896	0.1414741938
897	0.1414526114
898	0.1414426948
899	0.1414145804
900	0.1413963912
901	0.141376163
902	0.1413539096
903	0.141332723
904	0.1413093827
905	0.1412888247
906	0.1412480679
907	0.14123131
908	0.1412025318
909	0.141184791
910	0.1411667432
911	0.1411424043
912	0.1411269962
913	0.1410861149
914	0.1410538065
915	0.1410363471
916	0.1410170793
917	0.1409987203
918	0.1409698992
919	0.1409535278
920	0.140936975
921	0.1409197307
922	0.1408897312
923	0.1408669238
924	0.1408547581
925	0.1408359336
926	0.1408087777
927	0.1407835242
928	0.1407679837
929	0.1407534863
930	0.1407210896
931	0.1407059665
932	0.140689198
933	0.1406682841
934	0.1406501321
935	0.140627287
936	0.1405964766
937	0.1405733038
938	0.140557528
939	0.1405358749
940	0.1405022372
941	0.1404806036
942	0.1404657713
943	0.1404552107
944	0.1404343003
945	0.1404024051
946	0.1403776772
947	0.1403550537
948	0.140338168
949	0.1403197463
950	0.1403032097
951	0.140263772
952	0.1402480393
953	0.1402217493
954	0.1401983967
955	0.140184493
956	0.1401630552
957	0.1401299009
958	0.1401104583
959	0.1400831451
960	0.1400699117
961	0.1400313803
962	0.1400186802
963	0.1400026562
964	0.1399759417
965	0.1399627413
966	0.1399504329
967	0.1399326998
968	0.1398950464
969	0.139878054
970	0.1398663626
971	0.1398558177
972	0.1398295091
973	0.1398139623
974	0.1398014829
975	0.1397962047
976	0.1397740789
977	0.1397547894
978	0.1397365669
979	0.1397065662
980	0.1396916984
981	0.1396805871
982	0.1396437754
983	0.1396176844
984	0.1395948986
985	0.1395654614
986	0.1395550311
987	0.1395396758
988	0.1395195408
989	0.1395002578
990	0.1394883517
991	0.1394740549
992	0.1394571616
993	0.139439415
994	0.1394021755
995	0.1393706074
996	0.1393602992
997	0.1393455705
998	0.1393376021
999	0.1393177694
