iter	Passed	Remaining
0	5	5700
1	9	4710
2	11	3780
3	14	3610
4	17	3473
5	20	3404
6	23	3320
7	26	3270
8	29	3231
9	32	3199
10	35	3161
11	37	3126
12	40	3109
13	43	3083
14	46	3072
15	49	3058
16	52	3050
17	55	3034
18	58	3016
19	61	3008
20	64	3002
21	67	3000
22	70	2995
23	73	2982
24	76	2977
25	79	2971
26	83	3004
27	86	2996
28	90	3039
29	94	3050
30	97	3048
31	101	3055
32	105	3097
33	108	3090
34	115	3183
35	118	3174
36	122	3178
37	125	3169
38	127	3151
39	130	3137
40	133	3134
41	138	3151
42	141	3141
43	144	3141
44	150	3196
45	153	3182
46	156	3172
47	160	3181
48	164	3192
49	167	3190
50	170	3180
51	174	3176
52	177	3166
53	180	3161
54	182	3142
55	185	3135
56	189	3127
57	192	3120
58	195	3119
59	198	3109
60	201	3099
61	204	3089
62	207	3080
63	210	3078
64	213	3070
65	216	3063
66	219	3056
67	222	3047
68	225	3040
69	228	3036
70	231	3027
71	234	3020
72	237	3014
73	240	3009
74	243	3001
75	246	2993
76	249	2989
77	252	2983
78	255	2977
79	258	2975
80	261	2969
81	264	2964
82	267	2955
83	270	2949
84	273	2942
85	275	2930
86	278	2924
87	281	2920
88	284	2915
89	287	2910
90	290	2905
91	294	2901
92	296	2896
93	300	2893
94	303	2888
95	306	2882
96	309	2880
97	322	2968
98	335	3049
99	342	3078
100	347	3091
101	355	3133
102	359	3126
103	364	3142
104	369	3148
105	372	3142
106	375	3133
107	378	3126
108	381	3117
109	384	3109
110	387	3102
111	390	3095
112	393	3086
113	396	3078
114	399	3071
115	402	3066
116	405	3059
117	408	3052
118	411	3045
119	414	3037
120	417	3030
121	420	3024
122	423	3017
123	426	3012
124	429	3005
125	432	2998
126	435	2991
127	438	2985
128	441	2978
129	444	2972
130	447	2965
131	450	2960
132	453	2953
133	456	2946
134	458	2940
135	462	2935
136	465	2929
137	467	2918
138	470	2912
139	473	2908
140	476	2903
141	479	2896
142	482	2891
143	485	2885
144	488	2880
145	491	2874
146	494	2869
147	497	2863
148	500	2858
149	503	2853
150	506	2847
151	509	2843
152	512	2837
153	515	2831
154	518	2826
155	521	2820
156	524	2814
157	527	2809
158	530	2803
159	532	2797
160	535	2793
161	539	2788
162	542	2783
163	544	2778
164	547	2772
165	550	2767
166	553	2761
167	556	2756
168	559	2750
169	562	2745
170	565	2741
171	568	2735
172	571	2731
173	574	2725
174	577	2721
175	580	2717
176	583	2712
177	586	2708
178	589	2703
179	592	2698
180	595	2693
181	598	2688
182	601	2683
183	604	2679
184	607	2674
185	609	2669
186	612	2663
187	615	2659
188	618	2654
189	621	2649
190	624	2645
191	627	2641
192	630	2636
193	633	2632
194	636	2627
195	639	2621
196	640	2612
197	644	2610
198	649	2614
199	652	2610
200	655	2606
201	658	2602
202	661	2598
203	666	2601
204	669	2596
205	674	2598
206	677	2594
207	680	2591
208	683	2585
209	686	2582
210	690	2582
211	693	2579
212	697	2575
213	700	2571
214	703	2567
215	706	2565
216	710	2562
217	713	2557
218	715	2553
219	719	2550
220	722	2546
221	725	2542
222	728	2538
223	734	2545
224	738	2545
225	742	2543
226	746	2541
227	749	2536
228	752	2534
229	756	2531
230	759	2528
231	762	2523
232	765	2519
233	769	2517
234	772	2513
235	775	2509
236	778	2505
237	781	2500
238	784	2496
239	786	2489
240	789	2486
241	792	2481
242	795	2476
243	798	2473
244	801	2469
245	804	2464
246	810	2470
247	817	2478
248	820	2473
249	823	2469
250	826	2465
251	829	2460
252	831	2456
253	834	2451
254	837	2447
255	840	2444
256	845	2444
257	851	2449
258	853	2441
259	856	2437
260	859	2432
261	862	2428
262	865	2426
263	868	2421
264	871	2417
265	874	2413
266	877	2409
267	881	2406
268	885	2406
269	888	2402
270	891	2397
271	893	2392
272	897	2389
273	900	2385
274	903	2381
275	906	2376
276	909	2372
277	912	2368
278	914	2363
279	917	2359
280	920	2355
281	923	2351
282	926	2347
283	931	2349
284	935	2346
285	938	2343
286	941	2338
287	944	2335
288	949	2335
289	952	2331
290	955	2327
291	958	2323
292	962	2321
293	965	2318
294	971	2321
295	974	2317
296	978	2315
297	982	2315
298	985	2310
299	988	2306
300	991	2303
301	995	2301
302	998	2297
303	1002	2295
304	1005	2291
305	1008	2287
306	1011	2283
307	1014	2280
308	1019	2279
309	1022	2275
310	1025	2272
311	1029	2270
312	1032	2266
313	1035	2261
314	1037	2257
315	1041	2255
316	1047	2256
317	1052	2257
318	1056	2255
319	1063	2258
320	1065	2254
321	1068	2250
322	1076	2255
323	1083	2261
324	1087	2258
325	1097	2269
326	1101	2267
327	1106	2267
328	1112	2269
329	1117	2268
330	1120	2264
331	1124	2262
332	1127	2258
333	1130	2254
334	1133	2250
335	1136	2246
336	1141	2245
337	1144	2241
338	1147	2237
339	1150	2233
340	1154	2230
341	1157	2226
342	1160	2222
343	1161	2215
344	1164	2211
345	1167	2207
346	1170	2203
347	1173	2198
348	1177	2196
349	1180	2192
350	1183	2188
351	1186	2184
352	1189	2179
353	1192	2175
354	1195	2171
355	1198	2167
356	1200	2163
357	1203	2158
358	1205	2152
359	1208	2148
360	1211	2144
361	1214	2140
362	1217	2136
363	1220	2132
364	1224	2131
365	1227	2127
366	1231	2123
367	1236	2122
368	1238	2118
369	1241	2114
370	1244	2110
371	1248	2107
372	1251	2104
373	1254	2100
374	1257	2096
375	1260	2092
376	1265	2091
377	1268	2088
378	1272	2085
379	1275	2081
380	1279	2078
381	1283	2076
382	1287	2073
383	1289	2069
384	1293	2066
385	1296	2062
386	1301	2060
387	1304	2056
388	1307	2053
389	1310	2049
390	1313	2046
391	1317	2043
392	1320	2039
393	1323	2036
394	1327	2032
395	1330	2030
396	1334	2026
397	1337	2023
398	1341	2020
399	1346	2020
400	1351	2018
401	1356	2017
402	1360	2014
403	1375	2028
404	1381	2029
405	1386	2027
406	1390	2026
407	1396	2026
408	1401	2024
409	1405	2022
410	1413	2025
411	1417	2023
412	1422	2021
413	1428	2021
414	1433	2021
415	1438	2018
416	1443	2018
417	1448	2017
418	1453	2015
419	1461	2017
420	1466	2016
421	1470	2013
422	1475	2012
423	1482	2013
424	1487	2012
425	1496	2015
426	1501	2015
427	1508	2016
428	1513	2015
429	1518	2013
430	1524	2012
431	1528	2010
432	1534	2009
433	1539	2007
434	1544	2005
435	1549	2004
436	1555	2003
437	1560	2001
438	1565	2000
439	1572	2001
440	1576	1998
441	1582	1997
442	1588	1996
443	1592	1994
444	1598	1993
445	1603	1991
446	1608	1990
447	1613	1987
448	1618	1986
449	1622	1983
450	1626	1980
451	1630	1977
452	1637	1977
453	1641	1974
454	1646	1971
455	1650	1969
456	1655	1966
457	1659	1963
458	1663	1960
