iter	Passed	Remaining
407	4090	5934
408	4099	5923
409	4110	5914
410	4117	5901
411	4125	5887
412	4137	5880
413	4152	5878
414	4168	5875
415	4186	5877
416	4203	5877
417	4223	5880
418	4236	5874
419	4272	5899
420	4290	5900
421	4309	5903
422	4338	5917
423	4352	5913
424	4363	5904
425	4379	5901
426	4388	5889
427	4401	5882
428	4413	5873
429	4421	5860
430	4429	5847
431	4438	5836
432	4447	5823
433	4455	5810
434	4463	5797
435	4472	5785
436	4480	5772
437	4489	5760
438	4497	5747
439	4507	5736
440	4515	5723
441	4524	5711
442	4537	5705
443	4546	5693
444	4553	5678
445	4559	5663
446	4572	5656
447	4578	5641
448	4592	5635
449	4597	5619
450	4604	5604
451	4617	5598
452	4633	5594
453	4642	5583
454	4648	5568
455	4655	5554
456	4662	5539
457	4672	5529
458	4678	5514
459	4684	5499
460	4692	5486
461	4700	5474
462	4706	5459
463	4717	5449
464	4726	5437
465	4732	5422
466	4744	5414
467	4751	5401
468	4757	5386
469	4764	5372
470	4770	5357
471	4776	5343
472	4782	5328
473	4788	5314
474	4795	5300
475	4801	5285
476	4808	5272
477	4814	5258
478	4826	5249
479	4833	5236
480	4841	5224
481	4849	5212
482	4858	5200
483	4867	5189
484	4875	5177
485	4882	5164
486	4890	5151
487	4897	5138
488	4904	5125
489	4912	5113
490	4921	5101
491	4931	5091
492	4938	5079
493	4946	5066
494	4955	5055
495	4962	5043
496	4971	5031
497	4980	5020
498	4990	5010
499	4998	4998
500	5006	4986
501	5015	4975
502	5024	4964
503	5033	4953
504	5042	4942
505	5051	4931
506	5061	4921
507	5070	4911
508	5079	4899
509	5097	4897
510	5106	4887
511	5121	4880
512	5131	4871
513	5147	4867
514	5162	4861
515	5170	4849
516	5178	4838
517	5186	4825
518	5193	4813
519	5201	4801
520	5209	4789
521	5217	4777
522	5226	4766
523	5234	4754
524	5242	4742
525	5250	4731
526	5257	4719
527	5266	4707
528	5275	4696
529	5283	4685
530	5292	4674
531	5301	4664
532	5311	4653
533	5319	4641
534	5326	4629
535	5334	4618
536	5343	4606
537	5353	4597
538	5363	4586
539	5371	4576
